Country/Region,CaseFatalityRate
China,0.0267
Japan,0.0139
"South Korea",0.0079
Taiwan*,0.0180
Thailand,0.0000
US,0.0000
Singapore,0.0000
Vietnam,0.0000
France,0.0389
Malaysia,0.0000
Nepal,0.0000
Australia,0.0000
Canada,0.0000
Cambodia,0.0000
Germany,0.0000
"Sri Lanka",0.0000
Finland,0.0000
"United Arab Emirates",0.0000
India,0.0000
Philippines,0.3433
Italy,0.0273
Russia,0.0000
Sweden,0.0000
"United Kingdom",0.0000
Spain,0.0000
Belgium,0.0000
Egypt,0.0000
Iran,0.1944
Israel,0.0000
Lebanon,0.0000
Chile,0.0000
Afghanistan,0.0000
Bahrain,0.0000
Iraq,0.0000
Kuwait,0.0000
Oman,0.0000
Algeria,0.0000
Austria,0.0000
Croatia,0.0000
